Id,Whisky Name,Whisky Region or Style
9ac0b1cf-3087-40d9-929e-4180c227c0de,Amrut 4 Year Single Cask #2697,India
69e7a2a3-7bf6-46fc-b5b8-fb9f1bae4861,Amrut 5 2011 Single Cask #2712 Peated/Port Finish,India
71f0ecdd-bbc9-4f12-98ab-bea3c346e37e,Amrut 5 Single Cask Ex-Bourbon SAQ Pick,India
7036d707-021e-4f5c-9938-d42891093d5a,Amrut 7 2011 Single Cask #4133,India
3654ea20-2287-4a77-82fe-30b58467c496,Amrut 8 2009 Ex-Jaggery Rum Cask #317,India
696fdace-f4ab-463e-b528-47ac3a7d833c,Amrut 8 2009 Single Cask #317 Jaggery Rum KWM Pick,India
75cf1f33-0935-462f-9282-52269b790e9d,Amrut 8 Greedy Angels,India
f66b0d96-29fe-4211-863e-5284290d5203,Amrut Aatma,India
3a73e06c-7005-400f-9aa2-e32834ef8689,Amrut Bagheera Batch 01,India
1a601bc8-80f1-4fce-89b4-d0878827676f,Amrut Blackadder BA20 2015 Peated Raw Cask,India
975a4da1-ff28-4225-beeb-b8d173c7cf4e,Amrut Blackadder BA25 2016 Jamaican Rum Finish,India
f882ef9d-445d-4b4b-9813-d5216dc43217,Amrut Blackadder Raw BA 24/2016,India
0bd1d67b-bcc4-4122-b8f3-d7c2acfed806,Amrut Blackadder Raw Cask,India
3da1e25a-ecc7-4987-9168-400f35b2336b,Amrut Blackadder Raw Cask Dennis Steckel Collection Sherry Cask Finish,India
334a4f79-200b-4676-8db4-d2814477f414,Amrut Blackadder Raw Cask Nicaraguan Rum Cask Finish,India
4150dcab-2e1c-4411-b879-c50047f4811a,Amrut Blackadder Raw Cask Peated Cask Finish,India
76f2c39f-de12-4900-b732-3b250bce9c30,Amrut Blackadder Raw Cask Peated Cask Finish BA26/2016,India
1af63670-32e9-48a4-b3ea-caeffb536ed9,Amrut Cask Strength,India
83fa1840-15b3-4142-acc2-f80362445f22,Amrut Double Cask,India
871d7f45-fe19-4c64-89b2-97796b97dc66,Amrut Double Cask (#3190/#2716),India
d9867acb-fdd8-44cb-b995-3640c1928dec,Amrut Double Cask (Batch No. 3),India
2a00c6a4-1c3b-4b91-8b01-71320c74f5e3,Amrut Double Cask Peated Bourbon/ Peated Port Pipe,India
fbc0001b-0ec5-45f7-ac7f-689c39b0967a,Amrut Fusion,India
98ee23e2-5531-416d-9040-e7f1acfeec45,Amrut Greedy Angels 10,India
bdb0b8e1-92c6-4174-8f27-4bf7ee2ccab6,Amrut Greedy Angels 8,India
a369bcac-3642-4c46-917a-54fe4c8d96a1,Amrut Greedy Angels 8 Batch 2,India
8a7afb74-9b04-4bab-b687-2ddfd59264bd,Amrut Indian Single Malt,India
